Employee Name,Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Total Pay & Benefits,Year,Notes,Agency,Status
John Kunkel,City Manager,157582.00,0.00,1216.00,21924.00,158798.00,180722.00,2016,,Kerman,FT
Joseph Blohm,Chief,115435.00,0.00,2132.00,31660.00,117567.00,149227.00,2016,,Kerman,FT
Kenneth Moore,PW Director,96517.00,0.00,3155.00,24219.00,99672.00,123891.00,2016,,Kerman,FT
Philip Gallegos,CS Director,97873.00,0.00,2928.00,18700.00,100801.00,119501.00,2016,,Kerman,FT
Not Provided,Sergeant,76670.00,6156.00,5173.00,25632.00,87999.00,113631.00,2016,,Kerman,FT
Tonetta Jones,Finance Director,83951.00,0.00,2718.00,25038.00,86669.00,111707.00,2016,,Kerman,FT
Not Provided,Sergeant,76766.00,1607.00,5134.00,28012.00,83507.00,111519.00,2016,,Kerman,FT
Not Provided,Sergeant,77574.00,433.00,5154.00,25296.00,83161.00,108457.00,2016,,Kerman,FT
John Golden,Lieutenant,94665.00,0.00,2853.00,10278.00,97518.00,107796.00,2016,,Kerman,FT
Not Provided,Police Officer,63443.00,2859.00,12041.00,23636.00,78343.00,101979.00,2016,,Kerman,FT
Not Provided,Sergeant,65327.00,2209.00,4573.00,23638.00,72109.00,95747.00,2016,,Kerman,FT
Not Provided,Police Officer,59376.00,6608.00,4144.00,22496.00,70128.00,92624.00,2016,,Kerman,FT
Not Provided,Police Officer,63858.00,921.00,4216.00,18935.00,68995.00,87930.00,2016,,Kerman,FT
Not Provided,Police Officer,64177.00,2491.00,4233.00,16719.00,70901.00,87620.00,2016,,Kerman,FT
Fernando Chavez,WWTP Op Grade II Lead,64367.00,8030.00,618.00,14472.00,73015.00,87487.00,2016,,Kerman,FT
Not Provided,Police Officer,61037.00,2495.00,4211.00,18397.00,67743.00,86140.00,2016,,Kerman,FT
Not Provided,WWTP Grade II Operator,56956.00,8952.00,565.00,19499.00,66473.00,85972.00,2016,,Kerman,FT
Not Provided,Police Officer,64164.00,1104.00,4220.00,16331.00,69488.00,85819.00,2016,,Kerman,FT
Not Provided,Police Officer,59174.00,1166.00,4176.00,20913.00,64516.00,85429.00,2016,,Kerman,FT
Not Provided,Police Officer,59546.00,4002.00,3970.00,15009.00,67518.00,82527.00,2016,,Kerman,FT
Marcia Reyes,City Clerk,68638.00,0.00,1232.00,12089.00,69870.00,81959.00,2016,,Kerman,FT
Robert Gruce,PW Ops Coord,65086.00,0.00,1825.00,14337.00,66911.00,81248.00,2016,,Kerman,FT
Not Provided,Police Officer,57641.00,2474.00,3916.00,14759.00,64031.00,78790.00,2016,,Kerman,FT
Not Provided,Assistant Planner,54306.00,2234.00,1552.00,18562.00,58092.00,76654.00,2016,,Kerman,FT
Carolina Camacho- Collier,SR Acct,65686.00,0.00,531.00,9581.00,66217.00,75798.00,2016,,Kerman,FT
Not Provided,Building Official,60124.00,0.00,519.00,14630.00,60643.00,75273.00,2016,,Kerman,FT
Not Provided,PW Lead Sup,50473.00,7977.00,1447.00,14488.00,59897.00,74385.00,2016,,Kerman,FT
Not Provided,Mechanic,47402.00,7291.00,1433.00,15861.00,56126.00,71987.00,2016,,Kerman,FT
Not Provided,PW Maintenance Specialist,46415.00,6622.00,437.00,17175.00,53474.00,70649.00,2016,,Kerman,FT
Not Provided,Building&Facilities Supervisor,47949.00,0.00,1483.00,19247.00,49432.00,68679.00,2016,,Kerman,FT
Not Provided,Executive Secretary-City Mgr,53704.00,0.00,453.00,13559.00,54157.00,67716.00,2016,,Kerman,FT
