Employee Name,Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Total Pay & Benefits,Year,Notes,Agency,Status
Rick Daniels,City Manager,200635.00,0.00,16155.13,13112.00,216790.13,229902.13,2016,,Needles,FT
Jerry Porter,Chier Water Plant Operator,75354.00,15333.00,6841.78,14837.00,97528.78,112365.78,2016,,Needles,FT
Jack Lindley,Line Crew Supervisor,81637.00,11617.00,7665.75,8273.00,100919.75,109192.75,2016,,Needles,FT
Not Provided,Powerline Tech,70978.00,11790.00,6549.50,19228.00,89317.50,108545.50,2016,,Needles,FT
Sylvia Miledi,Director of Finance,84561.00,0.00,6808.85,16298.00,91369.85,107667.85,2016,,Needles,FT
Not Provided,Powerline Tech,71624.00,9739.00,6737.99,19228.00,88100.99,107328.99,2016,,Needles,FT
Not Provided,Powerline Tech,69993.00,8737.00,6833.17,19213.00,85563.17,104776.17,2016,,Needles,FT
Marc Richards,Public Works Director,80533.00,0.00,6484.52,15828.00,87017.52,102845.52,2016,,Needles,FT
Not Provided,Grounds Supervisor,62224.00,0.00,5010.28,20992.00,67234.28,88226.28,2016,,Needles,FT
Cheryl Sallis,City Mgr Secretary,54560.00,0.00,4393.17,20899.00,58953.17,79852.17,2016,,Needles,FT
Not Provided,Service Manager,52446.00,0.00,4222.95,20992.00,56668.95,77660.95,2016,,Needles,FT
Not Provided,Service Technician,57617.00,0.00,4639.32,14970.00,62256.32,77226.32,2016,,Needles,FT
Not Provided,Golf Pro,51761.00,0.00,4167.80,20992.00,55928.80,76920.80,2016,,Needles,FT
Franklin Smith,Equipment Operator IV,50646.00,0.00,4078.02,18994.00,54724.02,73718.02,2016,,Needles,FT
Frank Valenzuela,Water Foreperson,59203.00,6087.00,5087.41,434.00,70377.41,70811.41,2016,,Needles,FT
Dale Jones,City Clerk,49208.00,0.00,3962.23,16298.00,53170.23,69468.23,2016,,Needles,FT
Susan Alva,Account Clerk III,52444.00,0.00,4222.79,7265.00,56666.79,63931.79,2016,,Needles,FT
Deanna Johnson,Sr Animal Control Officer,48377.00,1577.00,4528.36,7224.00,54482.36,61706.36,2016,,Needles,FT
Not Provided,Golf Mechanic,41154.00,2447.00,3313.72,14785.00,46914.72,61699.72,2016,,Needles,FT
Not Provided,Utility Asst,38899.00,0.00,3132.15,19089.00,42031.15,61120.15,2016,,Needles,FT
Not Provided,Bldg&Safety/Ut Dept Asst,43767.00,0.00,3524.12,13202.00,47291.12,60493.12,2016,,Needles,FT
Not Provided,Materials Crd/Scvman,36915.00,629.00,2972.40,19080.00,40516.40,59596.40,2016,,Needles,FT
Cindy Semione,Comm Dept Asst.,43512.00,2669.00,3503.59,7233.00,49684.59,56917.59,2016,,Needles,FT
Kim Mitchell,Business Office Manager,43055.00,0.00,3466.79,7692.00,46521.79,54213.79,2016,,Needles,FT
Rainie Torrance,Finance Assistant,49469.00,0.00,3983.24,324.00,53452.24,53776.24,2016,,Needles,FT
Leslie May,Human Resource Specialist,42331.00,0.00,3408.49,7945.00,45739.49,53684.49,2016,,Needles,FT
Dan Williams,Senior Code Enf Officer,41214.00,0.00,3318.55,7925.00,44532.55,52457.55,2016,,Needles,FT
Jessie Fragoso,MCWII,29161.00,1316.00,2348.04,18808.00,32825.04,51633.04,2016,,Needles,FT
Not Provided,Engineering Tech II,45029.00,0.00,3625.74,1938.00,48654.74,50592.74,2016,,Needles,FT
Not Provided,Parks/MCWI,25731.00,201.00,2071.86,19047.00,28003.86,47050.86,2016,,Needles,FT
Not Provided,Associate Water Operator,30259.00,5631.00,2713.12,7863.00,38603.12,46466.12,2016,,Needles,FT
Jason Smith,Equipment Operator I,22734.00,868.00,1830.54,18923.00,25432.54,44355.54,2016,,Needles,PT
Not Provided,Parks/MCWI,26630.00,334.00,2144.25,14700.00,29108.25,43808.25,2016,,Needles,FT
Not Provided,Parks/MCWI,28098.00,2640.00,2262.45,7020.00,33000.45,40020.45,2016,,Needles,FT
Staci Anderson,Cust. Service Rep I,25824.00,0.00,2150.05,11727.00,27974.05,39701.05,2016,,Needles,FT
Sheryl Porter,Cust. Service Rep II,35715.00,0.00,2875.77,326.00,38590.77,38916.77,2016,,Needles,FT
David Brownlee,Asst City Manager,29480.00,0.00,2373.73,4070.00,31853.73,35923.73,2016,,Needles,PT
Not Provided,Water Operator In Training,26820.00,4320.00,2405.29,309.00,33545.29,33854.29,2016,,Needles,FT
Not Provided,Maintenance & Construction,24629.00,0.00,1983.13,7165.00,26612.13,33777.13,2016,,Needles,FT
Not Provided,Golf/MCWI,20278.00,2283.00,1632.78,0.00,24193.78,24193.78,2016,,Needles,PT
Not Provided,Golf/MCWI,19643.00,2013.00,1581.65,0.00,23237.65,23237.65,2016,,Needles,PT
Not Provided,Finance,11001.00,0.00,885.80,8020.00,11886.80,19906.80,2016,,Needles,PT
Not Provided,Golf Pro Shop,19383.00,0.00,0.00,0.00,19383.00,19383.00,2016,,Needles,PT
Not Provided,Animal Control Asst.,16286.00,44.00,1311.35,0.00,17641.35,17641.35,2016,,Needles,PT
Not Provided,Golf/MCWI,13563.00,1980.00,1092.09,0.00,16635.09,16635.09,2016,,Needles,PT
Not Provided,Senior Center Aide,14839.00,0.00,1194.84,0.00,16033.84,16033.84,2016,,Needles,PT
Not Provided,Golf Pro Shop,15335.00,0.00,0.00,0.00,15335.00,15335.00,2016,,Needles,PT
Not Provided,Pool Tech,13595.00,0.00,1094.67,0.00,14689.67,14689.67,2016,,Needles,PT
Not Provided,Recreation Aide I,12948.00,0.00,1042.57,0.00,13990.57,13990.57,2016,,Needles,PT
Not Provided,Recreation Aide II,12619.00,0.00,1016.08,0.00,13635.08,13635.08,2016,,Needles,PT
Not Provided,Lifeguard Shift Leader II,12210.00,0.00,983.15,0.00,13193.15,13193.15,2016,,Needles,PT
Not Provided,Pro Shop Attendant,13073.00,0.00,0.00,0.00,13073.00,13073.00,2016,,Needles,PT
Not Provided,Recreation Aide I,9613.00,0.00,0.00,0.00,9613.00,9613.00,2016,,Needles,PT
Not Provided,Pro Shop Attendant,8755.00,0.00,0.00,0.00,8755.00,8755.00,2016,,Needles,PT
Not Provided,Maintenance & Construction,7410.00,510.00,0.00,0.00,7920.00,7920.00,2016,,Needles,PT
Not Provided,Recreation Aide I,6701.00,0.00,0.00,0.00,6701.00,6701.00,2016,,Needles,PT
Not Provided,Pro Shop Attendant,4820.00,0.00,0.00,0.00,4820.00,4820.00,2016,,Needles,PT
Not Provided,LIfeguard Shift Leader I,4763.00,0.00,0.00,0.00,4763.00,4763.00,2016,,Needles,PT
Not Provided,Bus Driver,4128.00,0.00,0.00,0.00,4128.00,4128.00,2016,,Needles,PT
Not Provided,Lifeguard II,3655.00,0.00,0.00,0.00,3655.00,3655.00,2016,,Needles,PT
Not Provided,Recreation Aide,3324.00,0.00,0.00,0.00,3324.00,3324.00,2016,,Needles,PT
Not Provided,Maintenance & Construction,3323.00,0.00,0.00,0.00,3323.00,3323.00,2016,,Needles,PT
Not Provided,Lifeguard II,3215.00,0.00,0.00,0.00,3215.00,3215.00,2016,,Needles,PT
Not Provided,Lifeguard III,3211.00,0.00,0.00,0.00,3211.00,3211.00,2016,,Needles,PT
Not Provided,Lifeguard II,2782.00,0.00,0.00,0.00,2782.00,2782.00,2016,,Needles,PT
Not Provided,Lifeguard II,2682.00,0.00,0.00,0.00,2682.00,2682.00,2016,,Needles,PT
Not Provided,Lifeguard,2605.00,0.00,0.00,0.00,2605.00,2605.00,2016,,Needles,PT
Not Provided,Golf Cart Attendant,2545.00,0.00,0.00,0.00,2545.00,2545.00,2016,,Needles,PT
Not Provided,Lifeguard,2496.00,0.00,0.00,0.00,2496.00,2496.00,2016,,Needles,PT
Not Provided,Lifeguard,2390.00,0.00,0.00,0.00,2390.00,2390.00,2016,,Needles,PT
Not Provided,Recreation Aide I,1590.00,0.00,0.00,0.00,1590.00,1590.00,2016,,Needles,PT
Not Provided,Lifeguard II,1520.00,0.00,0.00,0.00,1520.00,1520.00,2016,,Needles,PT
Not Provided,Lifeguard,1412.00,0.00,0.00,0.00,1412.00,1412.00,2016,,Needles,PT
Not Provided,Golf/MCWI,1280.00,0.00,0.00,0.00,1280.00,1280.00,2016,,Needles,PT
Not Provided,Maintenance & Construction,1124.00,0.00,0.00,0.00,1124.00,1124.00,2016,,Needles,PT
Not Provided,Lifeguard III,1106.00,0.00,0.00,0.00,1106.00,1106.00,2016,,Needles,PT
Not Provided,Bus Driver,907.00,0.00,0.00,0.00,907.00,907.00,2016,,Needles,PT
Not Provided,Bus Driver,855.00,0.00,0.00,0.00,855.00,855.00,2016,,Needles,PT
