Employee Name,Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Total Pay & Benefits,Year,Notes,Agency,Status
Mark Prestwich,City Manager,112318.00,0.00,0.00,23194.00,112318.00,135512.00,2016,,Nevada City,""
Catrina Olson,Assistant City Manager,99141.00,0.00,0.00,36106.00,99141.00,135247.00,2016,,Nevada City,""
Sam Goodspeed,Fire Chief,89835.00,0.00,0.00,41152.00,89835.00,130987.00,2016,,Nevada City,""
Not Provided,Police Sergeant,65334.00,4740.00,11584.00,44082.00,81658.00,125740.00,2016,,Nevada City,""
Not Provided,Fire Captain,56566.00,21572.00,1439.00,33948.00,79577.00,113525.00,2016,,Nevada City,""
Peter Schack,Public Works Superintendent,77899.00,0.00,486.00,33785.00,78385.00,112170.00,2016,,Nevada City,""
Not Provided,Fire Captain,49607.00,27769.00,0.00,33315.00,77376.00,110691.00,2016,,Nevada City,""
Howard Schmitz,Water/Wastewater Superintendent,83323.00,0.00,412.00,22312.00,83735.00,106047.00,2016,,Nevada City,""
Tim Foley,Police Chief,89302.00,0.00,6100.00,8255.00,95402.00,103657.00,2016,,Nevada City,""
Not Provided,Police Officer,54314.00,14549.00,4805.00,29634.00,73668.00,103302.00,2016,,Nevada City,""
Not Provided,Police Sergeant,63858.00,2643.00,13287.00,19704.00,79788.00,99492.00,2016,,Nevada City,""
Not Provided,Police Officer,52647.00,7380.00,7662.00,31548.00,67689.00,99237.00,2016,,Nevada City,""
Bryan McAlister,City Engineer,73196.00,0.00,0.00,22828.00,73196.00,96024.00,2016,,Nevada City,""
Not Provided,Police Officer,60444.00,13776.00,3791.00,17917.00,78011.00,95928.00,2016,,Nevada City,""
Not Provided,Water/Wastewater Operator II,50757.00,18540.00,258.00,26267.00,69555.00,95822.00,2016,,Nevada City,""
Corey Shaver,Administrative Supervisor,56065.00,0.00,0.00,39245.00,56065.00,95310.00,2016,,Nevada City,""
Not Provided,Police Officer,49022.00,1575.00,11759.00,31925.00,62356.00,94281.00,2016,,Nevada City,""
Not Provided,Police Officer,41312.00,1631.00,12113.00,38612.00,55056.00,93668.00,2016,,Nevada City,""
Amy Wolfson,City Planner,67424.00,0.00,0.00,23994.00,67424.00,91418.00,2016,,Nevada City,""
Not Provided,Water/Wastewater Operator II,47980.00,8762.00,258.00,21348.00,57000.00,78348.00,2016,,Nevada City,""
Dawn Zydonis,Parks And Recreation Supervisor,49632.00,0.00,486.00,28162.00,50118.00,78280.00,2016,,Nevada City,""
Not Provided,Maintenance Worker II,41331.00,6974.00,0.00,29261.00,48305.00,77566.00,2016,,Nevada City,""
Not Provided,Water/Wastewater Operator II,51567.00,12198.00,258.00,10980.00,64023.00,75003.00,2016,,Nevada City,""
Not Provided,Maintenance Worker II,42275.00,10249.00,37.00,21818.00,52561.00,74379.00,2016,,Nevada City,""
Not Provided,Police Officer,54775.00,734.00,3209.00,5555.00,58718.00,64273.00,2016,,Nevada City,""
Not Provided,Firefighter,38495.00,19315.00,2741.00,3328.00,60551.00,63879.00,2016,,Nevada City,""
Not Provided,Police Officer,44605.00,2920.00,3017.00,6059.00,50542.00,56601.00,2016,,Nevada City,""
Not Provided,Maintenance Worker I,32005.00,5902.00,0.00,16685.00,37907.00,54592.00,2016,,Nevada City,""
Not Provided,Firefighter,31792.00,6265.00,562.00,12225.00,38619.00,50844.00,2016,,Nevada City,""
Not Provided,Police Records Coordinator,40913.00,113.00,2858.00,6080.00,43884.00,49964.00,2016,,Nevada City,""
Not Provided,Firefighter,27976.00,11512.00,0.00,10144.00,39488.00,49632.00,2016,,Nevada City,""
Not Provided,Maintenance Worker I,30045.00,3170.00,222.00,6195.00,33437.00,39632.00,2016,,Nevada City,""
Not Provided,Reserve Officer,32268.00,2349.00,0.00,0.00,34617.00,34617.00,2016,,Nevada City,""
Not Provided,Maintenance Worker I,17425.00,2065.00,222.00,10926.00,19712.00,30638.00,2016,,Nevada City,""
Not Provided,Community Service Officer II,12163.00,0.00,0.00,12200.00,12163.00,24363.00,2016,,Nevada City,""
Not Provided,Maintenance Worker II,13252.00,1004.00,800.00,2098.00,15056.00,17154.00,2016,,Nevada City,""
Not Provided,Community Service Officer II,13900.00,0.00,0.00,2311.00,13900.00,16211.00,2016,,Nevada City,""
Not Provided,Firefighter,9961.00,5272.00,0.00,460.00,15233.00,15693.00,2016,,Nevada City,""
Not Provided,Reserve Officer,11987.00,505.00,0.00,0.00,12492.00,12492.00,2016,,Nevada City,""
Not Provided,Accounting Technician,11045.00,0.00,0.00,724.00,11045.00,11769.00,2016,,Nevada City,""
Not Provided,Reserve Officer,11156.00,0.00,0.00,0.00,11156.00,11156.00,2016,,Nevada City,""
Not Provided,Community Service Officer,10806.00,0.00,0.00,0.00,10806.00,10806.00,2016,,Nevada City,""
Not Provided,Community Service Officer,9700.00,0.00,0.00,0.00,9700.00,9700.00,2016,,Nevada City,""
Not Provided,Reserve Officer,7960.00,0.00,0.00,0.00,7960.00,7960.00,2016,,Nevada City,""
Not Provided,Reserve Officer,6869.00,0.00,0.00,0.00,6869.00,6869.00,2016,,Nevada City,""
Not Provided,Seasonal Parks & Recreation Maintenance Worker,5643.00,0.00,0.00,0.00,5643.00,5643.00,2016,,Nevada City,""
Not Provided,Reserve Officer,5166.00,0.00,0.00,0.00,5166.00,5166.00,2016,,Nevada City,""
Not Provided,Assistant Pool Manager,4775.00,39.00,0.00,0.00,4814.00,4814.00,2016,,Nevada City,""
Not Provided,Customer Service Representative,3667.00,0.00,0.00,957.00,3667.00,4624.00,2016,,Nevada City,""
Not Provided,Assistant Pool Manager,4197.00,23.00,0.00,0.00,4220.00,4220.00,2016,,Nevada City,""
Not Provided,Temporary Firefighter,2837.00,967.00,0.00,0.00,3804.00,3804.00,2016,,Nevada City,""
Not Provided,Seasonal Parks & Recreation Reservationist,3660.00,0.00,0.00,0.00,3660.00,3660.00,2016,,Nevada City,""
Not Provided,Assistant Pool Manager,3574.00,0.00,0.00,0.00,3574.00,3574.00,2016,,Nevada City,""
Not Provided,Customer Service Representative,3257.00,0.00,0.00,213.00,3257.00,3470.00,2016,,Nevada City,""
Not Provided,Lifeguard,2789.00,0.00,0.00,0.00,2789.00,2789.00,2016,,Nevada City,""
Not Provided,Lifeguard,2641.00,0.00,0.00,0.00,2641.00,2641.00,2016,,Nevada City,""
Not Provided,Lifeguard,2540.00,49.00,0.00,0.00,2589.00,2589.00,2016,,Nevada City,""
Not Provided,Lifeguard,2410.00,0.00,0.00,0.00,2410.00,2410.00,2016,,Nevada City,""
Not Provided,Lifeguard,2360.00,8.00,0.00,0.00,2368.00,2368.00,2016,,Nevada City,""
Not Provided,Lifeguard,2333.00,0.00,0.00,0.00,2333.00,2333.00,2016,,Nevada City,""
Not Provided,Lifeguard,2331.00,0.00,0.00,0.00,2331.00,2331.00,2016,,Nevada City,""
Not Provided,Lifeguard,2065.00,0.00,0.00,0.00,2065.00,2065.00,2016,,Nevada City,""
Not Provided,Lifeguard,2034.00,0.00,0.00,0.00,2034.00,2034.00,2016,,Nevada City,""
Not Provided,Lifeguard,2030.00,0.00,0.00,0.00,2030.00,2030.00,2016,,Nevada City,""
